artista,pos,cuenta
Tijoux,sustantivo,638
Tijoux,verbo,453
Tijoux,nombre propio,337
Tijoux,adjetivo,174
Tijoux,pronombre,86
Tijoux,determinador,83
Tijoux,adverbio,72
Tijoux,adposición,59
Tijoux,conj. subordinada,53
Tijoux,auxiliar,46
Tijoux,puntuación,24
Tijoux,conjunción,15
Tijoux,numeral,15
Tijoux,interjección,3
LilSupa,sustantivo,575
LilSupa,nombre propio,466
LilSupa,verbo,330
LilSupa,adjetivo,228
LilSupa,adverbio,60
LilSupa,puntuación,38
LilSupa,auxiliar,38
LilSupa,determinador,36
LilSupa,pronombre,35
LilSupa,adposición,25
LilSupa,conj. subordinada,18
LilSupa,numeral,17
LilSupa,conjunción,6
LilSupa,interjección,3
LilSupa,espacio,2
VicoC,sustantivo,1656
VicoC,verbo,1301
VicoC,nombre propio,498
VicoC,adjetivo,318
VicoC,auxiliar,137
VicoC,conj. subordinada,126
VicoC,determinador,117
VicoC,adposición,105
VicoC,pronombre,85
VicoC,adverbio,71
VicoC,conjunción,41
VicoC,numeral,20
VicoC,puntuación,9
VicoC,interjección,3
VicoC,espacio,3
Akapellah,sustantivo,1171
Akapellah,verbo,755
Akapellah,nombre propio,563
Akapellah,adjetivo,387
Akapellah,adverbio,142
Akapellah,conj. subordinada,92
Akapellah,auxiliar,86
Akapellah,adposición,83
Akapellah,pronombre,82
Akapellah,determinador,73
Akapellah,numeral,32
Akapellah,conjunción,30
Akapellah,puntuación,12
Akapellah,espacio,11
Akapellah,interjección,8
Akapellah,símbolo,1
Akapellah,partícula,1
Tego,sustantivo,2836
Tego,nombre propio,2176
Tego,verbo,2017
Tego,adjetivo,831
Tego,conj. subordinada,353
Tego,pronombre,343
Tego,adposición,306
Tego,determinador,305
Tego,adverbio,304
Tego,puntuación,168
Tego,auxiliar,164
Tego,conjunción,78
Tego,interjección,74
Tego,numeral,29
Canserbero,sustantivo,1077
Canserbero,verbo,749
Canserbero,nombre propio,476
Canserbero,adjetivo,331
Canserbero,adverbio,115
Canserbero,auxiliar,109
Canserbero,determinador,99
Canserbero,conj. subordinada,97
Canserbero,pronombre,78
Canserbero,adposición,73
Canserbero,conjunción,28
Canserbero,puntuación,25
Canserbero,numeral,16
Canserbero,interjección,12
Residente,sustantivo,1202
Residente,verbo,612
Residente,nombre propio,603
Residente,adjetivo,261
Residente,adverbio,114
Residente,pronombre,112
Residente,determinador,103
Residente,adposición,84
Residente,auxiliar,67
Residente,conj. subordinada,60
Residente,numeral,33
Residente,conjunción,19
Residente,interjección,14
Residente,puntuación,2
